INFO 2021-04-01 16:29:09,262 autoreload 9421 140735824819072 Watching for file changes with StatReloader
DEBUG 2021-04-01 16:29:09,310 autoreload 9421 140735824819072 Waiting for apps ready_event.
DEBUG 2021-04-01 16:29:09,416 autoreload 9421 140735824819072 Main Django thread has terminated before apps are ready.
DEBUG 2021-04-01 16:29:09,730 autoreload 9421 140735824819072 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2021-04-01 16:29:10,045 autoreload 9421 140735824819072 File /Users/home/.local/share/virtualenvs/WhiteCow2-UdVHqJzA/lib/python3.9/site-packages/asgiref/__init__.py first seen with mtime 1617294394.4829645
DEBUG 2021-04-01 16:29:10,046 autoreload 9421 140735824819072 File /Users/home/.local/share/virtualenvs/WhiteCow2-UdVHqJzA/lib/python3.9/site-packages/django/templatetags/__init__.py first seen with mtime 1617294433.8319895
DEBUG 2021-04-01 16:29:10,046 autoreload 9421 140735824819072 File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/xml/__init__.py first seen with mtime 1613743591.0
DEBUG 2021-04-01 16:29:10,047 autoreload 9421 140735824819072 File /Users/home/.local/share/virtualenvs/WhiteCow2-UdVHqJzA/lib/python3.9/site-packages/django/utils/html.py first seen with mtime 1617294434.217424
DEBUG 2021-04-01 16:29:10,047 autoreload 9421 140735824819072 File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/importlib/__init__.py first seen with mtime 1613743590.0
DEBUG 2021-04-01 16:29:10,047 autoreload 9421 140735824819072 File /Users/home/.local/share/virtualenvs/WhiteCow2-UdVHqJzA/lib/python3.9/site-packages/django/contrib/messages/constants.py first seen with mtime 1617294428.6019375
DEBUG 2021-04-01 16:29:10,047 autoreload 9421 140735824819072 File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/asyncio/base_tasks.py first seen with mtime 1613743590.0
DEBUG 2021-04-01 16:29:10,047 autoreload 9421 140735824819072 File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/xml/dom/domreg.py first seen with mtime 1613743591.0
DEBUG 2021-04-01 16:29:10,047 autoreload 9421 140735824819072 File /Users/home/.local/share/virtualenvs/WhiteCow2-UdVHqJzA/lib/python3.9/site-packages/django/db/models/sql/query.py first seen with mtime 1617294433.5187912
DEBUG 2021-04-01 16:29:10,048 autoreload 9421 140735824819072 File /Users/home/.local/share/virtualenvs/WhiteCow2-UdVHqJzA/lib/python3.9/site-packages/django/db/models/functions/text.py first seen with mtime 1617294433.5085306
DEBUG 2021-04-01 16:29:10,048 autoreload 9421 140735824819072 File /Users/home/.local/share/virtualenvs/WhiteCow2-UdVHqJzA/lib/python3.9/site-packages/django/core/management/color.py first seen with mtime 1617294432.9895134
DEBUG 2021-04-01 16:29:10,048 autoreload 9421 140735824819072 File /Users/home/.local/share/virtualenvs/WhiteCow2-UdVHqJzA/lib/python3.9/site-packages/django/utils/functional.py first seen with mtime 1617294434.2156317
DEBUG 2021-04-01 16:29:10,048 autoreload 9421 140735824819072 File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/xml/dom/minicompat.py first seen with mtime 1613743591.0
DEBUG 2021-04-01 16:29:10,048 autoreload 9421 140735824819072 File /Users/home/.local/share/virtualenvs/WhiteCow2-UdVHqJzA/lib/python3.9/site-packages/django/urls/converters.py first seen with mtime 1617294434.069126
DEBUG 2021-04-01 16:29:10,048 autoreload 9421 140735824819072 File /Users/home/.local/share/virtualenvs/WhiteCow2-UdVHqJzA/lib/python3.9/site-packages/django/db/models/sql/constants.py first seen with mtime 1617294433.5160654
DEBUG 2021-04-01 16:29:10,049 autoreload 9421 140735824819072 File /Users/home/.local/share/virtualenvs/WhiteCow2-UdVHqJzA/lib/python3.9/site-packages/kombu/utils/objects.py first seen with mtime 1617294390.1865737
DEBUG 2021-04-01 16:29:10,049 autoreload 9421 140735824819072 File /Users/home/.local/share/virtualenvs/WhiteCow2-UdVHqJzA/lib/python3.9/site-packages/django/core/checks/database.py first seen with mtime 1617294432.8030746
DEBUG 2021-04-01 16:29:10,049 autoreload 9421 140735824819072 File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/sre_constants.py first seen with mtime 1613743589.0
DEBUG 2021-04-01 16:29:10,049 autoreload 9421 140735824819072 File /Users/home/.local/share/virtualenvs/WhiteCow2-UdVHqJzA/lib/python3.9/site-packages/django/contrib/admin/utils.py first seen with mtime 1617294422.39699
DEBUG 2021-04-01 16:29:10,049 autoreload 9421 140735824819072 File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/email/headerregistry.py first seen with mtime 1613743590.0
DEBUG 2021-04-01 16:29:10,050 autoreload 9421 140735824819072 File /Users/home/.local/share/virtualenvs/WhiteCow2-UdVHqJzA/lib/python3.9/site-packages/sqlparse/filters/aligned_indent.py first seen with mtime 1617294377.684237
DEBUG 2021-04-01 16:29:10,050 autoreload 9421 140735824819072 File /Users/home/.local/share/virtualenvs/WhiteCow2-UdVHqJzA/lib/python3.9/site-packages/django/urls/__init__.py first seen with mtime 1617294434.0622447
DEBUG 2021-04-01 16:29:10,050 autoreload 9421 140735824819072 File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/urllib/__init__.py first seen with mtime 1613743591.0
DEBUG 2021-04-01 16:29:10,050 autoreload 9421 140735824819072 File /Users/home/.local/share/virtualenvs/WhiteCow2-UdVHqJzA/lib/python3.9/site-packages/django/contrib/admin/options.py first seen with mtime 1617294422.388485
DEBUG 2021-04-01 16:29:10,050 autoreload 9421 140735824819072 File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/lib-dynload/_asyncio.cpython-39-darwin.so first seen with mtime 1613744063.0
DEBUG 2021-04-01 16:29:10,050 autoreload 9421 140735824819072 File /Users/home/.local/share/virtualenvs/WhiteCow2-UdVHqJzA/lib/python3.9/site-packages/celery/utils/collections.py first seen with mtime 1617294444.6832166
DEBUG 2021-04-01 16:29:10,051 autoreload 9421 140735824819072 File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/contextvars.py first seen with mtime 1613743589.0
DEBUG 2021-04-01 16:29:10,051 autoreload 9421 140735824819072 File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/email/header.py first seen with mtime 1613743590.0
DEBUG 2021-04-01 16:29:10,051 autoreload 9421 140735824819072 File /Users/home/.local/share/virtualenvs/WhiteCow2-UdVHqJzA/lib/python3.9/site-packages/celery/utils/abstract.py first seen with mtime 1617294444.6823266
DEBUG 2021-04-01 16:29:10,051 autoreload 9421 140735824819072 File /Users/home/.local/share/virtualenvs/WhiteCow2-UdVHqJzA/lib/python3.9/site-packages/billiard/exceptions.py first seen with mtime 1617294393.5460238
DEBUG 2021-04-01 16:29:10,051 autoreload 9421 140735824819072 File /Users/home/.local/share/virtualenvs/WhiteCow2-UdVHqJzA/lib/python3.9/site-packages/coverage/inorout.py first seen with mtime 1617294444.1519744
DEBUG 2021-04-01 16:29:10,051 autoreload 9421 140735824819072 File /Users/home/.local/share/virtualenvs/WhiteCow2-UdVHqJzA/lib/python3.9/site-packages/django/contrib/messages/__init__.py first seen with mtime 1617294428.5996985
DEBUG 2021-04-01 16:29:10,052 autoreload 9421 140735824819072 File /Users/home/.local/share/virtualenvs/WhiteCow2-UdVHqJzA/lib/python3.9/site-packages/coverage/templite.py first seen with mtime 1617294444.1206086
DEBUG 2021-04-01 16:29:10,052 autoreload 9421 140735824819072 File /Users/home/.local/share/virtualenvs/WhiteCow2-UdVHqJzA/lib/python3.9/site-packages/django/core/servers/basehttp.py first seen with mtime 1617294433.0532331
